GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
NFKB1,8.13779758499517,6.17491290440829,6.70661495908735,8.5393292826451,8.01576767811865,7.05354071186503,7.76820928357699,7.61212459340055,8.02562256660309,6.98316555839661,7.87442925145168,7.91465433479464
NR3C1,8.835549384022789,8.200801858777425,8.329151350398023,9.313390914811842,9.121722047626706,8.174225302448377,8.48384083167052,9.32363678145987,8.948446582288039,8.606430159963875,9.444806167620163,9.654689884848327
PARP1,9.51253564332499,7.53789003941833,7.42704238673007,7.88761318049978,7.60420642145582,7.75931649441852,7.87014850224289,7.64648842404603,8.00916113586166,7.52678260858847,7.46428022371746,7.65480363044329
PAX6,3.90936290772144,4.478666969228345,4.76497536423756,3.865661793011875,4.521316137828355,4.203288520464845,4.150315118072395,3.9355806720679802,4.56810696636643,4.5521514407665205,4.537319460723435,4.292414874020665
PIK3CA,5.781703715371797,5.128508446232449,4.807105645075237,5.951015316793121,5.500736157156723,5.5352440717869165,5.27388449159692,5.622721942068597,5.562368438569184,4.99253427132011,5.40124135992509,6.1333047401881835
PLAT,7.16565209681195,8.17927228380797,6.69403975493242,8.90798449120142,9.70913801083746,8.22606125325526,9.56504777188091,7.97777668682888,9.10706301306182,8.33436959597207,9.49144380142422,8.85943761660393
PLAU,8.424456022282975,5.1211487517303205,5.265283541140515,6.34232146009545,5.96192119623254,5.96372299310734,6.330598083055065,6.22430279995014,5.79573456119763,5.35688289498021,6.15604576663681,5.576654873022285
PLAUR,7.969381578855284,6.095436088052554,5.9073736309923435,5.76611800288368,5.777735402335996,5.922864669123004,6.022911642016436,5.591568091785017,6.014890107898279,5.978346998774714,6.024526877008427,5.938595984976487
PLK2,7.55723632364772,8.44198050611898,8.3703314473585,9.10692977466855,9.49969424438671,8.41549704337713,9.29738521980006,9.12045610217589,9.30297641262839,8.18935726253225,9.05171337943845,8.28553972758871
PMAIP1,4.586288204215725,5.24964103057279,5.890469766588925,6.21790668860649,5.48215427987758,5.276564685348134,4.88514111759332,4.34047530477952,5.45369641481385,4.39117029873719,5.34920518542458,3.877948023433725
PML,5.720991364983542,5.777242362081433,5.927190605682422,6.011633197341061,5.900431307657531,5.827739856000572,5.807475245814616,5.879900961521636,5.606616427716422,6.064812736917184,5.678171138167427,6.109662230126278
PPARD,5.723230469717695,5.5365156042726404,5.034705810145392,5.468768753503472,5.345519547989353,5.552139780805847,5.425427084279125,5.619014903827865,5.585099096460787,5.625220285667518,5.4218653006143995,5.38994114761805
